,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,likes
27,Palmares (ZN),-19.8728564,-43.9300001,Mundo Pet - Pet Shop,4cb9ca53d78f4688057eb873,-19.872144634054056,-43.931652295195825,Pet Store,9.0
28,Urca,-19.8715465,-44.01639779999999,Cindy's Pet,54e7792f498ec4fb5fd7328c,-19.86784507472116,-44.016522861343184,Pet Store,1.0
29,Fernão Dias,-19.8731256,-43.9178927,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
30,Fernão Dias,-19.8731256,-43.9178927,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
31,Fernão Dias,-19.8731256,-43.9178927,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
32,Fernão Dias,-19.8731256,-43.9178927,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
33,Minas Brasil,-19.9227318,-43.9450948,Aquario Show,4f3eaf11e4b0f45920360b15,-19.9248165036832,-43.94243311450643,Pet Store,7.0
34,Minas Brasil,-19.9227318,-43.9450948,Aquario Show,4f3eaf11e4b0f45920360b15,-19.9248165036832,-43.94243311450643,Pet Store,7.0
35,Jatobá,-19.9906227,-44.054396200000006,Petzoo,4f16fba2e4b0865b0d1af9c1,-19.990507895050694,-44.05495675511335,Pet Store,1.0
36,Jatobá,-19.9906227,-44.054396200000006,Petzoo,4f16fba2e4b0865b0d1af9c1,-19.990507895050694,-44.05495675511335,Pet Store,1.0
37,Horto,-19.9101408,-43.917867,Point Dog,4c7909032d3ba1437ebb8cd0,-19.908034438195397,-43.91948819160461,Pet Store,12.0
38,Barroca,-19.931433,-43.9635526,Bom Garoto! Pet Shop,4ff5d7c2e4b04619c6c7f9e7,-19.93178514939217,-43.96115070373991,Pet Store,18.0
39,Barroca,-19.931433,-43.9635526,Bom Garoto! Pet Shop,4ff5d7c2e4b04619c6c7f9e7,-19.93178514939217,-43.96115070373991,Pet Store,18.0
40,Barroca,-19.931433,-43.9635526,Happy Dog,4cf135edc9af6dcba0ef977f,-19.928844663738523,-43.95973460860344,Pet Store,5.0
41,Barroca,-19.931433,-43.9635526,Veterinária Bicho Sapeca,4eda9ff30cd6fe949366c411,-19.928831355204007,-43.96528959274292,Pet Store,3.0
42,Dom Joaquim,-19.8781302,-43.91887979999999,É o pet!,51406fcbe4b0b797e3384b10,-19.879070825065945,-43.91878431024488,Pet Store,1.0
43,Dom Joaquim,-19.8781302,-43.91887979999999,É o pet!,51406fcbe4b0b797e3384b10,-19.879070825065945,-43.91878431024488,Pet Store,1.0
44,Dom Joaquim,-19.8781302,-43.91887979999999,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
45,Dom Joaquim,-19.8781302,-43.91887979999999,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
46,Dom Joaquim,-19.8781302,-43.91887979999999,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
47,Dom Joaquim,-19.8781302,-43.91887979999999,Dog Stock's,4f0573c6e5facc333e15dc99,-19.8748081020907,-43.916338187064895,Pet Store,2.0
48,Vila Califórnia,-19.9189875,-44.00829,Spa Dog & Cat Shop,545e0352498e2db343aad5bc,-19.920864285550675,-44.00580008012609,Pet Store,1.0
49,Vila Califórnia,-19.9189875,-44.00829,Casa de Ração Grandes Criadores,5908b6631acf111c9a97ef90,-19.91797194259696,-44.00423524628889,Pet Store,2.0
50,Vila Califórnia,-19.9189875,-44.00829,Casa de Ração Grandes Criadores,5908b6631acf111c9a97ef90,-19.91797194259696,-44.00423524628889,Pet Store,2.0
51,São Lucas,-19.93115635,-43.92126169399062,Pet Shop Bicho Mimado,505dea11e4b07c5bd2b1a727,-19.929518058308137,-43.92441234273873,Pet Store,6.0
52,Campo Alegre,-19.8319243,-43.9474839,Campina Verde,4ef33e9d6da16847ce042d9f,-19.833244,-43.946106,Pet Store,4.0
53,Acaiaca,-19.8446625,-43.89479099984086,Racao Agro Vida,50aa8bbfe4b0bfc91792e02f,-19.84804843240461,-43.89624477202956,Pet Store,1.0
54,Acaiaca,-19.8446625,-43.89479099984086,Racao Agro Vida,50aa8bbfe4b0bfc91792e02f,-19.84804843240461,-43.89624477202956,Pet Store,1.0
